tweet;gender
@jorgeamadob Lo que si tengo claro es que se abrirá  antes de las elecciones , aunque los fontaneros y electricistas estén en el quirofano junto al personal sanitario.;1
@Gema_Cortes @YouTube Hay     Hay    este    es     un  come    cocos;-1
"@Gema_Cortes @psoeex .Vara no conocía al hermano de Sánchez como Aznar no conocía a ""El Bigotes"" y como yo no conozco a mi padre si me lo encuentro un sábado de juerga.";-1
@Gema_Cortes @psoeex Los únicos que al parecer tienen la obligación de saberlo todo acerca de su gente además, de controlarla es el PP. Por que a la mínima, ya sabéis, BOOM 💥 Pero lo que hagan otros carece de importancia y tampoco tiene mayor trascendencia.Es lo normal vaya......y no pasa na, eh?;-1
@Gema_Cortes @psoeex Estos dos tampoco sabían nada de nada... https://t.co/FrJViMSL4a;-1
"@Gema_Cortes @psoeex Y tampoco sabían #Vara y su equipo ""supuestamente"" nada de los desmanes que ocurrían en FEVAL. Nunca da la cara este Secretario General, ¡ni asume responsabilidades! Pero este #EnchufismoSocialista en #Extremadura es tan evidente... 😒";-1
@Gema_Cortes A que si guapi....tu para donde tiras???;-1
@VictoriaCsPla @CiudadanosCs Muy útil? https://t.co/p44hzEoq7D;-1
@VictoriaCsPla @CiudadanosCs https://t.co/p44hzEoq7D;-1
@VictoriaCsPla @CiudadanosCs https://t.co/p44hzEoq7D;-1
@VictoriaCsPla @CiudadanosCs https://t.co/p44hzEoq7D;-1
@VictoriaCsPla @LibreriaPuertaT https://t.co/p44hzEoq7D;-1
@VictoriaCsPla @CiudadanosCs https://t.co/p44hzEoq7D;-1
@VictoriaCsPla @CiudadanosCs https://t.co/p44hzEoq7D;-1
@VictoriaCsPla https://t.co/p44hzEoq7D;-1
@VictoriaCsPla ¡Qué maravilla, Victoria! Un abrazo y feliz noche, replicante. 😍;-1
@GFVara   CREO QUE NO ESTOY EN ERROR PERO ME PARECE RECORDAR UNA FAMOSA FRASE , SI PIERDO LAS VOTACIONES ME VOY AL HOSPITAL......POR SUPUESTO SI ESTOY EN ERROR  ME CORRIGE , SE AGRADECE RECUERDOS A PEPE.... https://t.co/rbL1fro1PH;1
@GFVara anuncia se trabajará haya vuelos internacionales desde aeropuerto Badajoz @AeropuertoBJZ #Fitur2018 https://t.co/0M1ZOIBjpN;1
@GFVara anuncia se trabajará haya vuelos internacionales desde aeropuerto Badajoz @Junta_Ex ¡Entérate de todo con #RegiónDigital! #extremaduraenfitur #FITUR2018 https://t.co/ouCCa8B7Iu;1
@GFVara @segundopiriz https://t.co/5qKbGH9PbE;1
@GFVara Hasta el paisano de Valverde de Leganés ex alcalde de Hospitalet Don Celestino Corbacho ha pedido la baja del partido, después de Pérez Tapias q esperáis quedaros solos los barones, baronesas y la casta de los viejos socialdemócratas, Ciudadanos os pasará y lo celebraré;1
@GFVara No me identifico. Considero sus palabras una gilipollez perfecta.;1
@GFVara también colocó a su cachorro, Pajuelo, en el chiringuito socialista que ya supera los 20 enchufes https://t.co/h1tT3D3cbO;1
@GFVara No siendo yo de @PSOE ya quisieran muchos políticos llegar a su nivel Sr. Fdez. Vara. Puede que si yo viviese en esa extraordinaria región extremeña, le votase. Enhorabuena, siga siendo usted así.;1
@GFVara se tapa los ojos ante la realidad de nuestra región.La precariedad, la pobreza... son problemas que para él y sus enchufados del PSOE no existen.La salvación de Extremadura pasa por echarle. https://t.co/EbCLXqS62v;1
@GFVara que has liado esta vez con el terremoto? no habrás tocado el cable tu...? https://t.co/2CX5yeA7Wf;1
@GFVara no vais a hacer nada? Concurso de arquitectura para la nueva Facultad de Medicina en Badajoz https://t.co/nY0kzAGYpP vía @hoyextremadura;1
@GFVara Algunos están fuera de esta sociedad porque no pueden ni ir al dentista por ejemplo.  O hacerse unas gafas.... Un discapacitado con discapacidad física superior al 65% con 368€/mes no pueden cubrir ni las mínimas necesidades. Los gobernantes pasan....triste realidad;1
@GFVara Los discapacitados con discapacidad de más de 65% deben intentar sobrevivir con 368€/mes. Me gustaría ver a los dirigentes políticos y gubernamentales intentarlo 2 meses. No duran ni 10 días. Es una sociedad inclusiva y solidaria?? Así no. Se lo aseguro. Ojalá reflexione.....;1
@GFVara Porque no prueba Ud, ahora que se van acercando elecciones, a sobrevivir durante 2 meses con 368€, pagando alquiler vivienda, agua, luz, gas, comida, medicinas que no entran en seguridad social, cambiarse los cristales de las gafas y arreglarse la boca. Le llega??;1
@GFVara No pueden ayudar a los más necesitados que sobreviven con cantidad inferior a una renta básica?? Con míseros 368 €?? Eso es velar por los extremeños??? Vergüenza debería darles. No darles una extra de 200€. Suban las pensiones por Dios, las no contributivas.;1
@GFVara Que piensan hacer con todos los discapacitados y mujeres que tienen una pensión no contributiva de 368 €??? Es indignante que los más necesitados tengan que sobrevivir con esta miserable cantidad que les lleva al estar solos a vivir en calle o comer de basuras??? Ni renta básica;1
@GFVara advierte que hay otros problemas en España aparte del catalán, que no pueden esperar https://t.co/fhv7h7bsaj vía @eldiarioex;1
@GFVara @carmenquesadam1;1
@GFVara Conozco a casi todos por mi trabajó. Uno de los mejores el alcalde de Berlanga. El de Ahillones se le olvidó de dónde viene. Solo le falta eso. No se nos mete en la cabeza qué está de paso. Enfin.;1
"@GFVara Pocos jovenes, cuestión a analizar ;)";1
@GFVara los atletas extremeños tenemos suficientes pista al aire libre... la de Herrera del duque nos sobra... ya no te voy a pedir que por nosotros hagais una cubierta ...pero tu sabes la de ctos de españa que puedes organizar en ella?? Y el dinerito que eso da a la comunidad??;1
@GFVara Cuantos de estos trabajan en Gisvesa??? Ahhh que estos no son altos cargos importantes perdón!!;1
@GFVara Por cierto si los hombres en general matan a las mujeres por ser mujeres, porque cuando le ponen proteccion a una mujer maltratada es un policia HOMBRE quien la protege?? No deberian poner a mujeres?, lo digo por si al policia le da por matar a la mujer al ser un hombre;1
@GFVara Bueno Sr Vara, que propone entonces?, meter a todos los hombres en la carcel?, y las mujeres que matan a los hombres las matan por ser hombres?, o no hay ningun asesinato de esa indole?;1
@GFVara Y por qué no con los Milanos en Navalmoral? #trendignoya;1
@GFVara Enchufados ??;1
@GFVara Hay que ver como os partís el lomo.;1
@GFVara Es más fácil q un camello pase por el agujero e una aguja q un político de un palo al agua imposible q un politicastro trabaje se mete a político pa no dar golpe, muchos como ZP no dio golpe en su vida viviendo de la política y la Trini colocada en timofonica vivienda del cuento;1
@GFVara Que buen alcalde fue Victoriano, que buenos recuerdos.;1
@GFVara A ver cuando te acercas por Zahinos, compañero.;1
"@GFVara ""Creo en la educación como palanca para trasformar el mundo y para cambiar la realidad de la vida de la personas"" @fernandoramons #ExtremaduraContigo 👏👏👏 https://t.co/jfC8GaKF7F";1
@GFVara Yo creo mucho en la Conferencia de Presidentes. Cuando hablamos de la España de las personas, necesitamos mecanismos que unan, que cohesionen. La Conferencia es uno de los instrumentos más importantes que podemos tener. #RajoyIncumpleConLasCCAA https://t.co/zU1ZVySy0a;1
@GFVara a parte de estar sacrificando vacas SANAS ,no estan pagando el lucro cesante.Una vaca positiva conlleva:Perdida al vender una vaca antes del fin logico de su vidaPerdida dl ternero que no nacePerdida de la ternera que no se vende Coste de convertir esa ternera en vaca;1
@GFVara pregonaba financiación igual para todos mientras cargaba contra #Catalunya cuando en realidad a lo que se refería era para todos sus parientes y amigotes.Ahora que pague como es debido este pata negra de #Extremadura @Junta_Ex https://t.co/NLfwabo3Ln;1
@GFVara Oye, he visto en prensa en enchufas en cargos publicos a tus colegas. Tienes algo por ahi para mi? Podriamos ser amigos, si fuese necesario;1
@GFVara haciendo un @marianorajoy subrealismos cafeteros...amigos...esto no es el mercado.  #LaCafeteraConstitucionObsoleta;1
@GFVara Extremadura tiene su propia agenda, sus propios problemas y sus propios protagonistas que son los extremeños y las extremeñas de los que nos tenemos que ocupar permanentemente. #ExtremaduraContigo 🌹🌹🌹 https://t.co/ngvmYruv6p;1
