tweet;gender
@VGdelMoral buenas;1
La ex alcaldesa del PSOE de Plasencia ingresa en prisión por un delito continuado de fraude https://t.co/ozsei7CAIw;1
@mariviromero gracias por seguirme en este medio. Un saludo;1
Sigamos trabajando por #LaEspanaQueQueremos https://t.co/47MZoc6b4Z;1
¿Por qué una Enmienda a la TOTALIDADde los #PGEx2018 de PSOE+Podemos?👎 Porque NO crece la inversiónsolo crece el engaño a los extremeños https://t.co/CFLzXsojQz;-1
PSOE pacta los #PGEx2018 con PODEMOS para subir los sueldos de Altos Cargos y Asesores de Vara!👎 Más altos Cargos 👨🏻‍💼👩🏻‍💼#EXTREMADURA https://t.co/oWMM3W4Uca;-1
#LoTuyoEsTuyo Que la @Junta_Ex no se quede con lo tuyo. Mañana en Merida defiende tu herencia. 🔴Stop al Impuesto de #Sucesiones https://t.co/GATIwD4AsH;-1
#Monago Nadie trabaja toda su vida para que herede la Junta de #Extremadura #LoTuyoEsTuyo #Merida @ppextremadura https://t.co/vcesB54wbj;-1
El paro subió #Extremadura en 4.486 personas,un 4,18%. El cuarto ➕ incremento del país. #ConsejeriaDeEmpleoSinRumbo https://t.co/T780GK5nE7;-1
#Protesta #Zafra #Cereal @GFVara https://t.co/8uZZAzTBj5;-1
@GFVara da la espalda al mundo rural #Extremadura #pesca #caza https://t.co/lUxRYahOB5;-1
Gran discurso del Presidente #Monago en el #DebatEx17 con @GFVara #triste #LegislaturaPerdida https://t.co/XTBNHKV3OW;-1
#VaraSinValores #DebatEx17 https://t.co/GSzTfn9TYi;-1
#DebatEx17 #VaraSinValores https://t.co/e3accK2CY4;-1
Nefasta gestión en prevención de incendios forestales de la Junta de Extremadura https://t.co/ZdJle14mxJ;-1
@GPPopularExt COM Medio Ambiente en Portezuelo, estas son algunas de las consecuencias de no invertir en prevención https://t.co/fYAaz75KYA;-1
Con mi compañera @MJValades visitando Åland Fruit https://t.co/wf0jM6MJfm;-1
Independizarse de la ley electoral lo mismo no les interesa. Curioso! https://t.co/LLRB7PFWBw;1
😂😂😂 https://t.co/c6Cuk8DXHk;1
Impresionante, desgarradora y emocionante la carta de la hija de Ana Orantes después de 20 años del asesinato de su madre. https://t.co/bXmo6bhjtI;1
El más longevo, extremeño y como él dice: “el hombre más fuerte del mundo” 💪🏻  El hombre más longevo del mundo cumple 113 años | Blog Diario de España | EL PAÍS https://t.co/T66fuBsB3E;1
Primera reunión de la Comisión Ejecutiva Municipal del… https://t.co/56QQ9qhP6E;1
🤔 https://t.co/vAy558oR3b;1
Venga ahí esa humildad! https://t.co/veYKv5yLJs;1
La Navidad fusilada https://t.co/P5Ijpnpiqo vía @hoyextremadura;1
En días como hoy con la muerte por atropello de un ciclista extremeño, cobra mucho más sentido la defensa que realizamos de una Propuesta sobre la concienciación y medidas de protección para los ciclistas en la Comisión de Cultura de la Asamblea:https://t.co/PYzThNt8GV;1
Escuchando reivindicaciones de ADECEX y FSIE sobre los trabajadores de la enseñanza concertada. https://t.co/81Raf6PqTe;1
Hay días así... https://t.co/2gBgUx5wY8;-1
Encantada de compartir la mañana con Plena Inclusión. https://t.co/vwCn0AdtfE;-1
Otro asesinato machista en un día en que decimos Basta Ya!!! https://t.co/108egPq3ta;-1
Mañana hablaremos sobre el Pacto de Estado https://t.co/aDYyDDdG0G;-1
"@joaquinaraujo en la presentación del libro RED Natura 2000 ""La España vacía está llena de vivacidad, de naturaleza, de recursos para la España amontonada que vive en las ciudades a espaldas de lo esencial""";1
"Gracias a @EduMadina por la lucidez ante tanto discurso iletrado, populista y demagogo.Recuerdo siempre ""Mi patria es la época que me ha tocado vivir""#NacionalismosNohttps://t.co/GmDX0CkNKi";1
Estas son las 8 noticias humanitarias de 2017, según ACNURLas gran olvidadas.#2017 https://t.co/VwaBPpwDKdEnviado desde @updayESP;1
Genial campaña de @TowandaRebels #HolaPutero Dejemos la hipocresía  y luchemos por prohibir los clubs, las violaciones pagadas y la esclavitud encubierta. https://t.co/b4fqgMIzpW;1
El candidato más valorado es @miqueliceta Nos queda esperar que también sea el más votado en las #Elecciones21D https://t.co/2J4cpNQMk4;1
La @Asamblea_Ex comprometida en la lucha contra el Sida.#DíaMundialContraElSida #PruebaTEST https://t.co/kW0DFnOzxx;1
Cuando la crítica destructiva suele ser lo cotidiano en política, hay días en los que se agradece el reconocimiento del buen trabajo realizado en este caso por @EstherGMoran #Extremadura https://t.co/KwteiJt7Qu;1
#EconomíaVerde #EconomíaCircular #Extremadura https://t.co/vQuJjtJF7r;1
Un orgullo escuchar el compromiso de @BlancaMartinDel con la #Igualdad y la lucha contra la violencia de género #25N https://t.co/q05qx1Sl95;1
